"Review Id","Reviewer Name","Rating","Comment","Comment Time","Images","Options","Review Helpful","Reviewer Location","Scraped At"
"161121599","Wen Yao","5","The table looks great. The delivery process is smooth and they assemble it for me. There are few defects on the table but Wayfair quickly resolved it for me.","01/26/2026","https://assets.wfcdn.com/im/48364908/c_crop-h400-w400%5Ecompr-r85/4106/410618995/default_name.jpg","","No","Los Angeles, CA","2026-02-22T19:17:03.576Z"
"160745866","Pui Fun","5","I saw this at my friend’s house and I have to get it myself. Modern, soft look, I love it!","01/16/2026","https://assets.wfcdn.com/im/43115161/c_crop-h400-w400%5Ecompr-r85/4087/408704348/default_name.jpg","","No","Newark, CA","2026-02-22T19:17:03.576Z"
"159760965","Wejdan","5","It is so pretty love it I like the storage on both side and the colour is very 
nice it is so modern and big enough for all my family","12/20/2025","https://assets.wfcdn.com/im/08076652/c_crop-h400-w400%5Ecompr-r85/4026/402649723/default_name.jpg
https://assets.wfcdn.com/im/30778478/c_crop-h400-w400%5Ecompr-r85/4026/402649721/default_name.jpg","","No","WAVERLY, OH","2026-02-22T19:17:03.576Z"
"158800146","Aimee","3","We love the features of this table, the storage and that it fully expands to seat everyone. However, we found the quality lacking for a 2000 table especially with the leaf inserts. The corners of the leaf inserts were dented and a door was cracked. We also couldn’t get one screw into the top to attach the base. I will update if Way","11/30/2025","https://assets.wfcdn.com/im/70491292/c_crop-h400-w400%5Ecompr-r85/3971/397191520/default_name.jpg
https://assets.wfcdn.com/im/63717889/c_crop-h400-w400%5Ecompr-r85/3971/397191512/default_name.jpg
https://assets.wfcdn.com/im/75068802/c_crop-h400-w400%5Ecompr-r85/3971/397191511/default_name.jpg","","No","Elizabeth, CO","2026-02-22T19:17:03.576Z"
"156709447","Cory","5","It’s a solid well built table, agree with comments on the orange tone but for our home it works well 
We plan to do light oak cabinets in the kitchen that it’s going in,  but honey oak floors vibe with the table.","10/16/2025","https://assets.wfcdn.com/im/90877526/c_crop-h400-w400%5Ecompr-r85/3831/383141412/default_name.jpg","","No","Wilmington, NC","2026-02-22T19:17:03.576Z"
"155062164","Anonymous","5","Great table! The table top is thick and high quality, and it extends smoothly. The height is also just right. For the price, this is an amazing deal on a beautiful and functional dining table.","09/11/2025","https://assets.wfcdn.com/im/27554966/c_crop-h400-w400%5Ecompr-r85/3731/373141301/default_name.jpg","","No","Anonymous","2026-02-22T19:17:03.576Z"
"155057252","Stephanie","5","Table is beautiful and the added storage is great - waiting on my replacement parts to see how it looks without the damage","09/11/2025","https://assets.wfcdn.com/im/18221962/c_crop-h400-w400%5Ecompr-r85/3731/373132149/default_name.jpg","","No","North Potomac, MD","2026-02-22T19:17:03.576Z"
"154969269","Khayri","1","Cheap quality. Damaged from delivery. Returning the table today. Will not be ordering another one","09/09/2025","https://assets.wfcdn.com/im/31338517/c_crop-h400-w400%5Ecompr-r85/3722/372222569/default_name.jpg
https://assets.wfcdn.com/im/08636691/c_crop-h400-w400%5Ecompr-r85/3722/372222567/default_name.jpg
https://assets.wfcdn.com/im/19987604/c_crop-h400-w400%5Ecompr-r85/3722/372222568/default_name.jpg","","No","Anonymous","2026-02-22T19:17:03.576Z"
"154947659","Thomas","4","It’s is an absolute beauty of a table and serves my purposes. I love that it extends to accommodate more guests. The only issue is that there was a chip in one of the pieces, but I think that’s from delivery and handling.","09/08/2025","https://assets.wfcdn.com/im/22723781/c_crop-h400-w400%5Ecompr-r85/3718/371804003/default_name.jpg","","No","Metairie, LA","2026-02-22T19:17:03.576Z"
"154890888","Anali","5","I had my eye on this table for a while and finally decided to purchase—it did not disappoint! I was a little worried it might feel cheap or lightweight, but it’s actually very sturdy and has a nice heavy quality. Assembly was quick and easy (washer, screw, righty tighty!) and everything came together smoothly. 

The only downside was that while opening one of the storage doors, the main part of the clasp broke off. I’m hoping I can glue it back on, but it was a bit of a letdown. Other than that, I’m very satisfied with the table overall. Now I just need to find the perfect modern mid-century dining chairs to go with it! 
 pictures of the table in different daylightS","09/07/2025","https://assets.wfcdn.com/im/95403187/c_crop-h400-w400%5Ecompr-r85/3711/371199044/default_name.jpg
https://assets.wfcdn.com/im/06754100/c_crop-h400-w400%5Ecompr-r85/3711/371199043/default_name.jpg
https://assets.wfcdn.com/im/18105013/c_crop-h400-w400%5Ecompr-r85/3711/371199042/default_name.jpg
https://assets.wfcdn.com/im/29455926/c_crop-h400-w400%5Ecompr-r85/3711/371199041/default_name.jpg
https://assets.wfcdn.com/im/99407667/c_crop-h400-w400%5Ecompr-r85/3711/371199039/default_name.jpg
https://assets.wfcdn.com/im/88056754/c_crop-h400-w400%5Ecompr-r85/3711/371199038/default_name.jpg","","No","Edmond, OK","2026-02-22T19:17:03.576Z"
